CODE,Event,Category,Title,Pack Folder,Image,Gender,Model Sex,Level,Equipment,Keywords
S1,ALL,Shapes,Hollow,Demo1,1.png,N,F,ALL,None,"hollow, dish, banana,"
S30,ALL,Shapes,Open Shoulder Drill,Demo1,2.png,N,F,ALL,Stick/Band,"shoulder flexibility, "
H5,Floor,Handstand,Half Handstand,Demo1,3.png,N,F,B AB I,Pacman/tall block/resi,"L handstand, pike handstand, handstand, "
BS9,Floor,Backward Salto,Backward Flip Over Mailbox,Demo1,4.png,N,F,AB,Mailbox,"back salto, mailbox, "
W4,Floor,Walkovers,Front Walkover Over a Barrel,Demo1,5.png,F,F,AB I,"Barrel, elevated surface","walkover, split handstand, barrel, "
HS5,Floor,Handsprings,Jump Fly Back,Demo1,6.png,N,F,AB I,"Mini Tramp Table Trainer, 2 incher","backhandspring, round off, rebound, arch"
H13 ,Floor,Handstand,Handstand Forward Roll Drill,Demo1,7.png,N,F,AB I,Wedge/Tall Panel Mat,"handstand, forward roll, candle, straight arm"
C3,Floor,Cartwheel Progressions,Over a Mat with Foam Block,Demo1,8.png,N,F,I,"Panel Mat, Foam Block","blocks, cartwheel, panel mat, lever, lunge, "
R6,Floor,Round Off Progression,Off A Spring Board,Demo1,9.png,N,F,I,"Panel Mat, Junior Board","round off, junior board, blocking, snap up, rebound, hollow, hurdle, lunge, lever"
F2,Floor,Forward Salto Progression,Forward Roll on Tumble Track,Demo1,10.png,N,F,AB I,"Tumble Track, Wedge Mat","forward salto, set, tuck"
B41A,Uneven Bars,Bars,Glide Swing with Slider,Demo1,11.png,N,F,AB I,"Low Bar, slider","glide swing, slider, c shape, "
B47,Uneven Bars,Bars,Partner Assisted Tuck Hang,Demo1,12.png,N,F,AB I,"High Bar, Foam Block","hang, tuck, foam block, partner"
BL5,Beam,Block Drills on Beam,Side Cartwheel Handstand ,Demo1,13.png,F,F,I,"Beam, Foam Block","foam block, lunge, lever, neutral hands "
BB19,Beam,Beam,Kneeling Mount,Demo1,14.png,F,F,I,Beam ,"mount, knees, knealing, front support"
BB11,Beam,Beam,Split Handstand Hold Drill,Demo1,15.png,F,F,I A,"Floor Beam Resi, Pacman/Wall","split handstand, handstand, w hands, "
V4A,Vault,Vault,Handstand Flatback,Demo1,16.png,F,F,AB I,"Tumble Track, 4-8 Incher","Handstand, hollow, "
V12,Vault,Vault,Arms Cirlces on Board,Demo1,17.png,N,F,AB I,Board,"backward arm circles, stretch jump, hollow"
T0,Tramp,Tramp,Safety Fall,Demo1,18.png,N,F,B I,"Trampoline, soft mat","safety, hollow "
T3,Tramp,Tramp,Seatdrop,Demo1,19.png,N,F,B AB,Trampoline  ,"pike sit, seat, bottom"
M1,Strength,Beam Strength,Sit Ups,Demo1,20.png,F,F,AB I ,Beam,"beam strength, sit ups, candle"
